dt;seccode;Expiry;Type;Strike;Base;THEORPRICE;Hi;Low;NUMCONTRACTS;NUMTRADES;VOLTODAY;VALTODAY
20200403;BR16BD0;20200427;Call;16;BRK0;16.98;14.74;13.97;8;5;7;86193.3;
20200403;BR16BP0;20200427;Put;16;BRK0;0.21;0.27;0.09;3870;64;336;4137278.21;
20200403;BR17BD0;20200427;Call;17;BRK0;16.05;0;0;0;0;0;0;
20200403;BR17BP0;20200427;Put;17;BRK0;0.28;0.33;0.21;1494;27;145;1897022.1;
20200403;BR18BD0;20200427;Call;18;BRK0;15.13;0;0;0;0;0;0;
20200403;BR18BP0;20200427;Put;18;BRK0;0.36;0.49;0.26;1006;31;173;2396481.46;
20200403;BR19BD0;20200427;Call;19;BRK0;14.22;13.7;11.56;24;16;16;233953.23;
20200403;BR19BP0;20200427;Put;19;BRK0;0.45;0.69;0.31;974;52;106;1549940.16;
20200403;BR20BD0;20200427;Call;20;BRK0;13.33;11;11;78;1;1;15391.66;
20200403;BR20BP0;20200427;Put;20;BRK0;0.56;0.8;0.45;20928;286;7564;116422516.24;
20200403;BR21BD0;20200427;Call;21;BRK0;12.46;0;0;32;0;0;0;
20200403;BR21BP0;20200427;Put;21;BRK0;0.69;0.99;0.47;3288;60;872;14092603.9;
20200403;BR22BD0;20200427;Call;22;BRK0;11.6;12.15;9.45;56;4;26;440201.48;
20200403;BR22BP0;20200427;Put;22;BRK0;0.83;1.13;0.69;4376;93;939;15898045.61;
20200403;BR23BD0;20200427;Call;23;BRK0;10.77;11.45;8.31;348;23;715;12655792.44;
20200403;BR23BP0;20200427;Put;23;BRK0;1;1.48;0.9;34736;178;1322;23399940.7;
20200403;BR24BD0;20200427;Call;24;BRK0;9.97;7.5;7.5;106;2;10;184699.92;
20200403;BR24BP0;20200427;Put;24;BRK0;1.2;1.71;1;3248;210;1068;19725951.46;
20200403;BR25BD0;20200427;Call;25;BRK0;9.19;11.29;6.49;592;32;104;2000915.8;
20200403;BR25BP0;20200427;Put;25;BRK0;1.42;2.5;1.25;6350;632;2640;50792478;
20200403;BR26BD0;20200427;Call;26;BRK0;8.44;10.1;5.95;2554;21;48;960439.58;
20200403;BR26BP0;20200427;Put;26;BRK0;1.67;2.46;1.44;25598;495;15814;316424824.61;
20200403;BR27BD0;20200427;Call;27;BRK0;7.72;9.6;4.99;1548;59;180;3740173.38;
20200403;BR27BP0;20200427;Put;27;BRK0;1.95;2.81;1.7;2980;292;1729;35926443.19;
20200403;BR28BD0;20200427;Call;28;BRK0;7.04;9.06;4.42;1406;73;383;8253008.09;
20200403;BR28BP0;20200427;Put;28;BRK0;2.27;3.33;2;4242;349;1760;37925050.24;
20200403;BR29BD0;20200427;Call;29;BRK0;6.39;7.97;3.95;3402;239;620;13837102.34;
20200403;BR29BP0;20200427;Put;29;BRK0;2.62;3.8;2.3;2108;339;2449;54656554.24;
20200403;BR30BD0;20200427;Call;30;BRK0;5.77;7.7;3.46;4292;392;1846;42619506.54;
20200403;BR30BP0;20200427;Put;30;BRK0;3;4.37;2.7;12322;629;6923;159834693.27;
20200403;BR31BD0;20200427;Call;31;BRK0;5.19;6.8;2.99;2240;298;1515;36143465.6;
20200403;BR31BP0;20200427;Put;31;BRK0;3.42;4.35;3;1026;184;1152;27483348.1;
20200403;BR32BD0;20200427;Call;32;BRK0;4.65;6.4;2.62;4184;419;2274;56001015.74;
20200403;BR32BP0;20200427;Put;32;BRK0;3.88;4.97;3.5;1226;149;929;22878163.42;
20200403;BR33BD0;20200427;Call;33;BRK0;4.14;5.8;2.29;3914;476;3562;90461403.32;
20200403;BR33BP0;20200427;Put;33;BRK0;4.37;5.85;3.75;954;116;413;10488646.71;
20200403;BR34BD0;20200427;Call;34;BRK0;3.66;5.27;1.99;2960;368;2718;71118704.2;
20200403;BR34BP0;20200427;Put;34;BRK0;4.89;5.08;4.32;1598;32;149;3898707.48;
20200403;BR35BD0;20200427;Call;35;BRK0;3.23;4.8;1.7;8994;744;5089;137074276.05;
20200403;BR35BP0;20200427;Put;35;BRK0;5.46;6.14;5;204;10;83;2235638.62;
20200403;BR36BD0;20200427;Call;36;BRK0;2.83;4.4;1.43;3432;202;1598;44272570.82;
20200403;BR36BP0;20200427;Put;36;BRK0;6.06;6.7;5.7;216;17;113;3130663.64;
20200403;BR37BD0;20200427;Call;37;BRK0;2.46;3.9;1.32;4892;158;1544;43964737.62;
20200403;BR37BP0;20200427;Put;37;BRK0;6.69;9.06;6;66;6;9;256271.14;
20200403;BR38BD0;20200427;Call;38;BRK0;2.13;3.44;1.16;4760;165;1476;43164371.3;
20200403;BR38BP0;20200427;Put;38;BRK0;7.36;6.66;6.66;2;1;1;29244.15;
20200403;BR39BD0;20200427;Call;39;BRK0;1.84;3.14;0.92;3892;106;976;29293407.31;
20200403;BR39BP0;20200427;Put;39;BRK0;8.07;0;0;12;0;0;0;
20200403;BR40BD0;20200427;Call;40;BRK0;1.58;2.75;0.51;19648;465;8238;253592990.16;
20200403;BR40BP0;20200427;Put;40;BRK0;8.81;0;0;14;0;0;0;
20200403;BR41BD0;20200427;Call;41;BRK0;1.36;2.47;0.62;596;65;382;12053208.95;
20200403;BR41BP0;20200427;Put;41;BRK0;9.59;0;0;0;0;0;0;
20200403;BR42BD0;20200427;Call;42;BRK0;1.16;2.21;0.6;1160;88;1014;32775000.8;
20200403;BR42BP0;20200427;Put;42;BRK0;10.39;0;0;4;0;0;0;
20200403;BR43BD0;20200427;Call;43;BRK0;0.99;1.88;0.56;916;51;363;12012421.05;
20200403;BR43BP0;20200427;Put;43;BRK0;11.22;0;0;830;0;0;0;
20200403;BR44BD0;20200427;Call;44;BRK0;0.85;1.6;0.4;3018;68;937;31728367.92;
20200403;BR44BP0;20200427;Put;44;BRK0;12.08;0;0;0;0;0;0;
20200403;BR45BD0;20200427;Call;45;BRK0;0.73;1.47;0.2;6838;273;2383;82526233.01;
20200403;BR45BP0;20200427;Put;45;BRK0;12.96;15;14.3;1260;2;2;69262.47;
20200403;BR46BD0;20200427;Call;46;BRK0;0.62;1.19;0.2;232;21;204;7221766.87;
20200403;BR46BP0;20200427;Put;46;BRK0;13.85;0;0;1250;0;0;0;
20200403;BR47BD0;20200427;Call;47;BRK0;0.54;1;0.33;60;9;28;1012771.23;
20200403;BR47BP0;20200427;Put;47;BRK0;14.77;0;0;0;0;0;0;
20200403;BR48BD0;20200427;Call;48;BRK0;0.46;0.95;0.2;850;25;270;9973795.68;
20200403;BR48BP0;20200427;Put;48;BRK0;15.69;0;0;402;0;0;0;
20200403;BR49BD0;20200427;Call;49;BRK0;0.4;0.8;0.39;386;17;27;1018158.31;
20200403;BR49BP0;20200427;Put;49;BRK0;16.63;0;0;620;0;0;0;
20200403;BR50BD0;20200427;Call;50;BRK0;0.34;0.75;0.15;2120;84;830;31937694.5;
20200403;BR50BP0;20200427;Put;50;BRK0;17.57;17.82;17.69;508;5;5;192395.75;
20200403;BR51BD0;20200427;Call;51;BRK0;0.3;0.44;0.19;486;6;13;510233.53;
20200403;BR51BP0;20200427;Put;51;BRK0;18.53;18.81;18.64;14;11;11;431736.06;
20200403;BR52BD0;20200427;Call;52;BRK0;0.26;0.45;0.18;76;6;8;320146.53;
20200403;BR52BP0;20200427;Put;52;BRK0;19.49;0;0;2;0;0;0;
20200403;BR53BD0;20200427;Call;53;BRK0;0.23;0.4;0.29;124;10;22;897333.78;
20200403;BR53BP0;20200427;Put;53;BRK0;20.46;0;0;2;0;0;0;
20200403;BR54BD0;20200427;Call;54;BRK0;0.2;0;0;60;0;0;0;
20200403;BR54BP0;20200427;Put;54;BRK0;21.43;0;0;0;0;0;0;
20200403;BR55BD0;20200427;Call;55;BRK0;0.18;0.36;0.11;824;15;144;6095097.36;
20200403;BR55BP0;20200427;Put;55;BRK0;22.41;0;0;14;0;0;0;
