dt;seccode;Expiry;Type;Strike;Base;THEORPRICE;Hi;Low;NUMCONTRACTS;NUMTRADES;VOLTODAY;VALTODAY
20200406;BR16BD0;20200427;Call;16;BRK0;16.74;0;0;8;0;0;0;
20200406;BR16BP0;20200427;Put;16;BRK0;0.19;0.21;0.12;3876;14;55;672166.88;
20200406;BR17BD0;20200427;Call;17;BRK0;15.81;0;0;0;0;0;0;
20200406;BR17BP0;20200427;Put;17;BRK0;0.26;0.26;0.2;1556;20;53;688207.23;
20200406;BR18BD0;20200427;Call;18;BRK0;14.91;0;0;0;0;0;0;
20200406;BR18BP0;20200427;Put;18;BRK0;0.36;0.43;0.25;1054;16;64;879927.55;
20200406;BR19BD0;20200427;Call;19;BRK0;14.02;13.99;13.99;28;2;2;29025.39;
20200406;BR19BP0;20200427;Put;19;BRK0;0.47;0.5;0.29;990;22;36;522456.98;
20200406;BR20BD0;20200427;Call;20;BRK0;13.15;0;0;78;0;0;0;
20200406;BR20BP0;20200427;Put;20;BRK0;0.6;0.65;0.44;20268;178;4603;70317821.56;
20200406;BR21BD0;20200427;Call;21;BRK0;12.3;0;0;32;0;0;0;
20200406;BR21BP0;20200427;Put;21;BRK0;0.75;0.75;0.51;3394;38;695;11148040.47;
20200406;BR22BD0;20200427;Call;22;BRK0;11.47;11.34;11.34;56;1;5;84020.86;
20200406;BR22BP0;20200427;Put;22;BRK0;0.92;0.92;0.65;4896;57;423;7108164.76;
20200406;BR23BD0;20200427;Call;23;BRK0;10.66;12.28;11.01;346;2;2;35136;
20200406;BR23BP0;20200427;Put;23;BRK0;1.11;1.15;0.81;35512;63;523;9188062.95;
20200406;BR24BD0;20200427;Call;24;BRK0;9.87;10.98;10.98;106;1;1;18331.82;
20200406;BR24BP0;20200427;Put;24;BRK0;1.32;1.29;0.98;3364;36;205;3758023.92;
20200406;BR25BD0;20200427;Call;25;BRK0;9.1;11.25;9.4;564;4;16;305530.4;
20200406;BR25BP0;20200427;Put;25;BRK0;1.55;1.6;1.2;6648;290;1431;27325875.15;
20200406;BR26BD0;20200427;Call;26;BRK0;8.35;10.75;8.45;2554;10;14;278032.66;
20200406;BR26BP0;20200427;Put;26;BRK0;1.8;1.9;1.41;26046;269;1107;21984439.93;
20200406;BR27BD0;20200427;Call;27;BRK0;7.62;9.29;7.85;1504;7;160;3299728.32;
20200406;BR27BP0;20200427;Put;27;BRK0;2.07;2.16;1.6;3294;113;841;17344196.98;
20200406;BR28BD0;20200427;Call;28;BRK0;6.92;7.77;6.9;1404;9;14;299419.79;
20200406;BR28BP0;20200427;Put;28;BRK0;2.37;2.5;1.88;4834;233;1545;33043112.76;
20200406;BR29BD0;20200427;Call;29;BRK0;6.24;8.15;6.34;3406;39;209;4629549.39;
20200406;BR29BP0;20200427;Put;29;BRK0;2.69;2.82;2.28;2028;124;559;12382383.29;
20200406;BR30BD0;20200427;Call;30;BRK0;5.6;7.72;5.77;4106;47;218;4995422.04;
20200406;BR30BP0;20200427;Put;30;BRK0;3.05;3.21;2.61;20590;382;5695;130499672.1;
20200406;BR31BD0;20200427;Call;31;BRK0;4.99;7.05;4.81;2000;129;1037;24554714.42;
20200406;BR31BP0;20200427;Put;31;BRK0;3.44;3.7;2.9;1300;142;461;10915837.37;
20200406;BR32BD0;20200427;Call;32;BRK0;4.42;6.35;4.12;3676;89;493;12050118.98;
20200406;BR32BP0;20200427;Put;32;BRK0;3.87;4.21;3.34;1286;181;956;23366964.99;
20200406;BR33BD0;20200427;Call;33;BRK0;3.88;5.8;3.69;4538;373;2079;52403810.38;
20200406;BR33BP0;20200427;Put;33;BRK0;4.33;4.64;3.76;1922;274;1386;34935873.59;
20200406;BR34BD0;20200427;Call;34;BRK0;3.38;5.33;3.18;4570;293;2552;66275654.37;
20200406;BR34BP0;20200427;Put;34;BRK0;4.83;5.06;4.17;2400;94;881;22879644;
20200406;BR35BD0;20200427;Call;35;BRK0;2.93;4.8;2.7;8528;365;2671;71406273.61;
20200406;BR35BP0;20200427;Put;35;BRK0;5.38;5.68;4.66;378;42;144;3849683.04;
20200406;BR36BD0;20200427;Call;36;BRK0;2.52;4.13;2.42;3700;106;584;16058677.82;
20200406;BR36BP0;20200427;Put;36;BRK0;5.97;5.75;5.2;238;7;14;384968.3;
20200406;BR37BD0;20200427;Call;37;BRK0;2.15;3.89;2.01;5190;196;1312;37079169.34;
20200406;BR37BP0;20200427;Put;37;BRK0;6.6;6.22;6.22;76;2;5;141307.81;
20200406;BR38BD0;20200427;Call;38;BRK0;1.83;3.31;1.64;5630;232;2274;66003732.31;
20200406;BR38BP0;20200427;Put;38;BRK0;7.28;0;0;2;0;0;0;
20200406;BR39BD0;20200427;Call;39;BRK0;1.54;3;1.45;4474;97;1235;36789679.29;
20200406;BR39BP0;20200427;Put;39;BRK0;7.99;0;0;12;0;0;0;
20200406;BR40BD0;20200427;Call;40;BRK0;1.3;2.78;1.12;20470;311;4096;125145251.84;
20200406;BR40BP0;20200427;Put;40;BRK0;8.75;8.67;7.84;14;2;2;61106.08;
20200406;BR41BD0;20200427;Call;41;BRK0;1.09;2.15;0.98;934;65;437;13685470.44;
20200406;BR41BP0;20200427;Put;41;BRK0;9.54;0;0;0;0;0;0;
20200406;BR42BD0;20200427;Call;42;BRK0;0.91;1.97;0.8;1718;180;684;21943193.33;
20200406;BR42BP0;20200427;Put;42;BRK0;10.36;0;0;4;0;0;0;
20200406;BR43BD0;20200427;Call;43;BRK0;0.77;1.79;0.75;1254;37;218;7160104.92;
20200406;BR43BP0;20200427;Put;43;BRK0;11.22;0;0;830;0;0;0;
20200406;BR44BD0;20200427;Call;44;BRK0;0.65;1.56;0.69;3824;52;790;26550591.76;
20200406;BR44BP0;20200427;Put;44;BRK0;12.1;0;0;0;0;0;0;
20200406;BR45BD0;20200427;Call;45;BRK0;0.55;1.4;0.5;15268;210;8775;301615791.75;
20200406;BR45BP0;20200427;Put;45;BRK0;13;0;0;1260;0;0;0;
20200406;BR46BD0;20200427;Call;46;BRK0;0.46;1.18;0.45;298;19;66;2318975.74;
20200406;BR46BP0;20200427;Put;46;BRK0;13.91;0;0;1250;0;0;0;
20200406;BR47BD0;20200427;Call;47;BRK0;0.4;0.61;0.35;102;8;24;861595.73;
20200406;BR47BP0;20200427;Put;47;BRK0;14.85;0;0;0;0;0;0;
20200406;BR48BD0;20200427;Call;48;BRK0;0.34;0.75;0.36;852;14;34;1246564.03;
20200406;BR48BP0;20200427;Put;48;BRK0;15.79;0;0;402;0;0;0;
20200406;BR49BD0;20200427;Call;49;BRK0;0.3;0.5;0.44;404;2;11;411702.21;
20200406;BR49BP0;20200427;Put;49;BRK0;16.75;0;0;620;0;0;0;
20200406;BR50BD0;20200427;Call;50;BRK0;0.26;0.71;0.21;5616;98;2207;84288199.1;
20200406;BR50BP0;20200427;Put;50;BRK0;17.71;0;0;508;0;0;0;
20200406;BR51BD0;20200427;Call;51;BRK0;0.23;0.47;0.35;506;9;150;5843268.9;
20200406;BR51BP0;20200427;Put;51;BRK0;18.68;18.55;18.27;14;4;4;155820.5;
20200406;BR52BD0;20200427;Call;52;BRK0;0.2;0.41;0.16;378;11;164;6513908.13;
20200406;BR52BP0;20200427;Put;52;BRK0;19.65;0;0;2;0;0;0;
20200406;BR53BD0;20200427;Call;53;BRK0;0.18;0.25;0.25;134;1;5;202413.89;
20200406;BR53BP0;20200427;Put;53;BRK0;20.63;0;0;2;0;0;0;
20200406;BR54BD0;20200427;Call;54;BRK0;0.16;0.2;0.2;70;1;5;206233.02;
20200406;BR54BP0;20200427;Put;54;BRK0;21.61;0;0;0;0;0;0;
20200406;BR55BD0;20200427;Call;55;BRK0;0.15;0.29;0.12;852;10;18;756187.74;
20200406;BR55BP0;20200427;Put;55;BRK0;22.6;0;0;14;0;0;0;
20200406;BR56BD0;20200427;Call;56;BRK0;0.13;0.16;0.14;8;4;4;171097.02;
20200406;BR56BP0;20200427;Put;56;BRK0;23.58;0;0;4;0;0;0;
20200406;BR57BD0;20200427;Call;57;BRK0;0.12;0.14;0.12;48;3;3;130614.25;
20200406;BR57BP0;20200427;Put;57;BRK0;24.57;0;0;2;0;0;0;
20200406;BR58BD0;20200427;Call;58;BRK0;0.11;0;0;2;0;0;0;
20200406;BR58BP0;20200427;Put;58;BRK0;25.56;0;0;0;0;0;0;
20200406;BR59BD0;20200427;Call;59;BRK0;0.1;0;0;288;0;0;0;
20200406;BR59BP0;20200427;Put;59;BRK0;26.55;0;0;4;0;0;0;
20200406;BR60BD0;20200427;Call;60;BRK0;0.09;0;0;1202;0;0;0;
20200406;BR60BP0;20200427;Put;60;BRK0;27.54;0;0;0;0;0;0;
20200406;BR61BD0;20200427;Call;61;BRK0;0.08;0;0;6;0;0;0;
20200406;BR61BP0;20200427;Put;61;BRK0;28.53;0;0;0;0;0;0;
20200406;BR62BD0;20200427;Call;62;BRK0;0.07;0;0;0;0;0;0;
20200406;BR62BP0;20200427;Put;62;BRK0;29.52;0;0;0;0;0;0;
20200406;BR63BD0;20200427;Call;63;BRK0;0.07;0;0;266;0;0;0;
20200406;BR63BP0;20200427;Put;63;BRK0;30.52;0;0;0;0;0;0;
20200406;BR64BD0;20200427;Call;64;BRK0;0.06;0;0;2;0;0;0;
20200406;BR64BP0;20200427;Put;64;BRK0;31.51;0;0;0;0;0;0;
20200406;BR65BD0;20200427;Call;65;BRK0;0.06;0;0;96;0;0;0;
20200406;BR65BP0;20200427;Put;65;BRK0;32.51;0;0;0;0;0;0;
20200406;BR66BD0;20200427;Call;66;BRK0;0.05;0;0;636;0;0;0;
20200406;BR66BP0;20200427;Put;66;BRK0;33.5;0;0;0;0;0;0;
20200406;BR67BD0;20200427;Call;67;BRK0;0.05;0;0;206;0;0;0;
20200406;BR67BP0;20200427;Put;67;BRK0;34.5;0;0;0;0;0;0;
20200406;BR68BD0;20200427;Call;68;BRK0;0.04;0;0;228;0;0;0;
20200406;BR68BP0;20200427;Put;68;BRK0;35.49;0;0;0;0;0;0;
20200406;BR69BD0;20200427;Call;69;BRK0;0.04;0;0;42;0;0;0;
20200406;BR69BP0;20200427;Put;69;BRK0;36.49;0;0;0;0;0;0;
20200406;BR70BD0;20200427;Call;70;BRK0;0.04;0;0;14776;0;0;0;
20200406;BR70BP0;20200427;Put;70;BRK0;37.49;0;0;0;0;0;0;
20200406;BR71BD0;20200427;Call;71;BRK0;0.03;0.04;0.04;854;1;2;108463.29;
20200406;BR71BP0;20200427;Put;71;BRK0;38.48;0;0;0;0;0;0;
20200406;BR26BJ0;20201027;Call;26;BRX0;15.02;0;0;0;0;0;0;
20200406;BR26BV0;20201027;Put;26;BRX0;3.07;0;0;0;0;0;0;
20200406;BR27BJ0;20201027;Call;27;BRX0;14.32;0;0;0;0;0;0;
20200406;BR27BV0;20201027;Put;27;BRX0;3.37;0;0;0;0;0;0;
20200406;BR28BJ0;20201027;Call;28;BRX0;13.64;0;0;0;0;0;0;
20200406;BR28BV0;20201027;Put;28;BRX0;3.69;0;0;0;0;0;0;
20200406;BR29BJ0;20201027;Call;29;BRX0;12.98;0;0;0;0;0;0;
20200406;BR29BV0;20201027;Put;29;BRX0;4.03;0;0;0;0;0;0;
20200406;BR30BJ0;20201027;Call;30;BRX0;12.34;0;0;0;0;0;0;
20200406;BR30BV0;20201027;Put;30;BRX0;4.39;0;0;0;0;0;0;
20200406;BR31BJ0;20201027;Call;31;BRX0;11.73;0;0;0;0;0;0;
20200406;BR31BV0;20201027;Put;31;BRX0;4.78;0;0;0;0;0;0;
20200406;BR32BJ0;20201027;Call;32;BRX0;11.13;0;0;0;0;0;0;
20200406;BR32BV0;20201027;Put;32;BRX0;5.18;0;0;0;0;0;0;
20200406;BR33BJ0;20201027;Call;33;BRX0;10.56;0;0;0;0;0;0;
20200406;BR33BV0;20201027;Put;33;BRX0;5.61;0;0;0;0;0;0;
20200406;BR34BJ0;20201027;Call;34;BRX0;10.01;0;0;0;0;0;0;
20200406;BR34BV0;20201027;Put;34;BRX0;6.06;0;0;0;0;0;0;
20200406;BR35BJ0;20201027;Call;35;BRX0;9.48;0;0;0;0;0;0;
20200406;BR35BV0;20201027;Put;35;BRX0;6.53;0;0;2;0;0;0;
20200406;BR36BJ0;20201027;Call;36;BRX0;8.98;0;0;0;0;0;0;
